"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031983","CC","GO:0031983","vesicle lumen","1/1","333/19944",0.003003003003003,59.8918918918919,7.67410528282561,0.0166967509025272,0.0194795427196151,NA,"TF",1
"GO:0030139","CC","GO:0030139","endocytic vesicle","1/1","361/19944",0.00277008310249307,55.2465373961219,7.36522487070978,0.0181006819093464,0.0200060168471724,NA,"TF",1
"GO:0016324","CC","GO:0016324","apical plasma membrane","1/1","425/19944",0.00235294117647059,46.9270588235294,6.77695055489779,0.02130966706779,0.0223751504211795,NA,"TF",1
"GO:0005769","CC","GO:0005769","early endosome","1/1","448/19944",0.00223214285714286,44.5178571428571,6.59680658674007,0.0224628961091057,0.0224628961091057,NA,"TF",1
"GO:0008199","MF","GO:0008199","ferric iron binding","1/1","10/18662",0.1,1866.2,43.1879612855249,0.000535848247776416,0.00187546886721668,NA,"TF",1
"GO:1990459","MF","GO:1990459","transferrin receptor binding","1/1","12/18662",0.0833333333333333,1555.16666666667,39.4229205750496,0.000643017897331566,0.00187546886721668,NA,"TF",1
"GO:0016530","MF","GO:0016530","metallochaperone activity","1/1","15/18662",0.0666666666666667,1244.13333333333,35.2580959969953,0.000803772371664291,0.00187546886721668,NA,"TF",1
"GO:0008198","MF","GO:0008198","ferrous iron binding","1/1","25/18662",0.04,746.48,27.3034796317246,0.00133962061944071,0.00234433608402124,NA,"TF",1
"GO:0140104","MF","GO:0140104","molecular carrier activity","1/1","116/18662",0.00862068965517241,160.879310344828,12.6443390631866,0.00621583967420436,0.00825206301575432,NA,"TF",1
"GO:0044325","MF","GO:0044325","transmembrane transporter binding","1/1","145/18662",0.00689655172413793,128.703448275862,11.3005950407871,0.00776979959275548,0.00825206301575432,NA,"TF",1
"GO:0005506","MF","GO:0005506","iron ion binding","1/1","154/18662",0.00649350649350649,121.181818181818,10.9627468356164,0.00825206301575432,0.00825206301575432,NA,"TF",1
